Fold,Test_AUC,params,end_epoch,Best_params,Best_epoch
0,0.7559937164610689,,,"{'nz': 256, 'd_dim': 128, 'lr': 0.001, 'lr_adv': 0.001, 'lam': 0.01, 'batch_size': [128, 14]}",15.0
1,0.7994051511645454,,,"{'nz': 256, 'd_dim': 128, 'lr': 0.001, 'lr_adv': 0.001, 'lam': 0.01, 'batch_size': [128, 14]}",63.0
2,0.8005179177531986,,,"{'nz': 256, 'd_dim': 128, 'lr': 0.001, 'lr_adv': 0.001, 'lam': 0.01, 'batch_size': [128, 14]}",67.0
3,0.7529662605614713,,,"{'nz': 256, 'd_dim': 128, 'lr': 0.001, 'lr_adv': 0.001, 'lam': 0.01, 'batch_size': [128, 14]}",16.0
4,0.8070682730157033,,,"{'nz': 256, 'd_dim': 128, 'lr': 0.001, 'lr_adv': 0.001, 'lam': 0.01, 'batch_size': [128, 14]}",54.0
0,0.7595468422346702,,,"{'nz': 256, 'd_dim': 256, 'lr': 0.001, 'lr_adv': 0.0001, 'lam': 0.1, 'batch_size': [128, 14]}",24.0
1,0.76078958465026,,,"{'nz': 256, 'd_dim': 256, 'lr': 0.001, 'lr_adv': 0.0001, 'lam': 0.1, 'batch_size': [128, 14]}",27.0
2,0.7600850549215596,,,"{'nz': 256, 'd_dim': 256, 'lr': 0.001, 'lr_adv': 0.0001, 'lam': 0.1, 'batch_size': [128, 14]}",19.0
3,0.7678241364696718,,,"{'nz': 256, 'd_dim': 256, 'lr': 0.001, 'lr_adv': 0.0001, 'lam': 0.1, 'batch_size': [128, 14]}",33.0
4,0.7556148274848332,,,"{'nz': 256, 'd_dim': 256, 'lr': 0.001, 'lr_adv': 0.0001, 'lam': 0.1, 'batch_size': [128, 14]}",20.0
0,0.7632775598898373,,,"{'nz': 128, 'd_dim': 100, 'lr': 0.001, 'lr_adv': 0.001, 'lam': 1, 'batch_size': [256, 28]}",30.0
1,0.7604709650441316,,,"{'nz': 128, 'd_dim': 100, 'lr': 0.001, 'lr_adv': 0.001, 'lam': 1, 'batch_size': [256, 28]}",27.0
2,0.7668144063622723,,,"{'nz': 128, 'd_dim': 100, 'lr': 0.001, 'lr_adv': 0.001, 'lam': 1, 'batch_size': [256, 28]}",27.0
3,0.7457849850526308,,,"{'nz': 128, 'd_dim': 100, 'lr': 0.001, 'lr_adv': 0.001, 'lam': 1, 'batch_size': [256, 28]}",23.0
4,0.7680298584676942,,,"{'nz': 128, 'd_dim': 100, 'lr': 0.001, 'lr_adv': 0.001, 'lam': 1, 'batch_size': [256, 28]}",34.0
0,0.8041949889395332,,,"{'nz': 128, 'd_dim': 256, 'lr': 0.0001, 'lr_adv': 0.001, 'lam': 1, 'batch_size': [128, 14]}",50.0
1,0.7972680849641086,,,"{'nz': 128, 'd_dim': 256, 'lr': 0.0001, 'lr_adv': 0.001, 'lam': 1, 'batch_size': [128, 14]}",39.0
2,0.7944191620310096,,,"{'nz': 128, 'd_dim': 256, 'lr': 0.0001, 'lr_adv': 0.001, 'lam': 1, 'batch_size': [128, 14]}",32.0
3,0.8115108869536002,,,"{'nz': 128, 'd_dim': 256, 'lr': 0.0001, 'lr_adv': 0.001, 'lam': 1, 'batch_size': [128, 14]}",46.0
4,0.8041908376253728,,,"{'nz': 128, 'd_dim': 256, 'lr': 0.0001, 'lr_adv': 0.001, 'lam': 1, 'batch_size': [128, 14]}",34.0
0,0.8007409547031162,,,"{'nz': 128, 'd_dim': 100, 'lr': 0.0001, 'lr_adv': 0.0001, 'lam': 0.01, 'batch_size': [128, 14]}",48.0
1,0.7947544804641677,,,"{'nz': 128, 'd_dim': 100, 'lr': 0.0001, 'lr_adv': 0.0001, 'lam': 0.01, 'batch_size': [128, 14]}",39.0
2,0.8006772322741,,,"{'nz': 128, 'd_dim': 100, 'lr': 0.0001, 'lr_adv': 0.0001, 'lam': 0.01, 'batch_size': [128, 14]}",44.0
3,0.7992199496790993,,,"{'nz': 128, 'd_dim': 100, 'lr': 0.0001, 'lr_adv': 0.0001, 'lam': 0.01, 'batch_size': [128, 14]}",33.0
4,0.8132789144735586,,,"{'nz': 128, 'd_dim': 100, 'lr': 0.0001, 'lr_adv': 0.0001, 'lam': 0.01, 'batch_size': [128, 14]}",58.0
0,0.7925400589347038,,,"{'nz': 256, 'd_dim': 100, 'lr': 0.0001, 'lr_adv': 0.001, 'lam': 0.01, 'batch_size': [256, 28]}",36.0
1,0.7958968718256834,,,"{'nz': 256, 'd_dim': 100, 'lr': 0.0001, 'lr_adv': 0.001, 'lam': 0.01, 'batch_size': [256, 28]}",44.0
2,0.8076283889294017,,,"{'nz': 256, 'd_dim': 100, 'lr': 0.0001, 'lr_adv': 0.001, 'lam': 0.01, 'batch_size': [256, 28]}",72.0
3,0.8028160519091779,,,"{'nz': 256, 'd_dim': 100, 'lr': 0.0001, 'lr_adv': 0.001, 'lam': 0.01, 'batch_size': [256, 28]}",45.0
4,0.8025034266318977,,,"{'nz': 256, 'd_dim': 100, 'lr': 0.0001, 'lr_adv': 0.001, 'lam': 0.01, 'batch_size': [256, 28]}",39.0
0,0.7525133564132807,,,"{'nz': 256, 'd_dim': 256, 'lr': 0.001, 'lr_adv': 0.0001, 'lam': 1, 'batch_size': [128, 14]}",25.0
1,0.7569156064905883,,,"{'nz': 256, 'd_dim': 256, 'lr': 0.001, 'lr_adv': 0.0001, 'lam': 1, 'batch_size': [128, 14]}",60.0
2,0.7626682008559899,,,"{'nz': 256, 'd_dim': 256, 'lr': 0.001, 'lr_adv': 0.0001, 'lam': 1, 'batch_size': [128, 14]}",27.0
3,0.7558640648444749,,,"{'nz': 256, 'd_dim': 256, 'lr': 0.001, 'lr_adv': 0.0001, 'lam': 1, 'batch_size': [128, 14]}",37.0
4,0.7625250459111405,,,"{'nz': 256, 'd_dim': 256, 'lr': 0.001, 'lr_adv': 0.0001, 'lam': 1, 'batch_size': [128, 14]}",26.0
0,0.8007174055539809,,,"{'nz': 128, 'd_dim': 128, 'lr': 0.001, 'lr_adv': 0.0001, 'lam': 0.01, 'batch_size': [256, 28]}",74.0
1,0.7860803689331075,,,"{'nz': 128, 'd_dim': 128, 'lr': 0.001, 'lr_adv': 0.0001, 'lam': 0.01, 'batch_size': [256, 28]}",36.0
2,0.7815074603217025,,,"{'nz': 128, 'd_dim': 128, 'lr': 0.001, 'lr_adv': 0.0001, 'lam': 0.01, 'batch_size': [256, 28]}",43.0
3,0.800354288921384,,,"{'nz': 128, 'd_dim': 128, 'lr': 0.001, 'lr_adv': 0.0001, 'lam': 0.01, 'batch_size': [256, 28]}",47.0
4,0.7618185297744722,,,"{'nz': 128, 'd_dim': 128, 'lr': 0.001, 'lr_adv': 0.0001, 'lam': 0.01, 'batch_size': [256, 28]}",14.0
0,0.7981960626585989,,,"{'nz': 256, 'd_dim': 100, 'lr': 0.0001, 'lr_adv': 0.001, 'lam': 1, 'batch_size': [256, 28]}",51.0
1,0.7924623887264536,,,"{'nz': 256, 'd_dim': 100, 'lr': 0.0001, 'lr_adv': 0.001, 'lam': 1, 'batch_size': [256, 28]}",37.0
2,0.801805978184095,,,"{'nz': 256, 'd_dim': 100, 'lr': 0.0001, 'lr_adv': 0.001, 'lam': 1, 'batch_size': [256, 28]}",49.0
3,0.8025869066390754,,,"{'nz': 256, 'd_dim': 100, 'lr': 0.0001, 'lr_adv': 0.001, 'lam': 1, 'batch_size': [256, 28]}",57.0
4,0.8030337241666317,,,"{'nz': 256, 'd_dim': 100, 'lr': 0.0001, 'lr_adv': 0.001, 'lam': 1, 'batch_size': [256, 28]}",54.0
0,0.8023478501687866,,,"{'nz': 128, 'd_dim': 128, 'lr': 0.0001, 'lr_adv': 0.0001, 'lam': 0.01, 'batch_size': [128, 14]}",47.0
1,0.7981628285879189,,,"{'nz': 128, 'd_dim': 128, 'lr': 0.0001, 'lr_adv': 0.0001, 'lam': 0.01, 'batch_size': [128, 14]}",46.0
2,0.7885577984033231,,,"{'nz': 128, 'd_dim': 128, 'lr': 0.0001, 'lr_adv': 0.0001, 'lam': 0.01, 'batch_size': [128, 14]}",21.0
3,0.8062663457022974,,,"{'nz': 128, 'd_dim': 128, 'lr': 0.0001, 'lr_adv': 0.0001, 'lam': 0.01, 'batch_size': [128, 14]}",82.0
4,0.8031556798094067,,,"{'nz': 128, 'd_dim': 128, 'lr': 0.0001, 'lr_adv': 0.0001, 'lam': 0.01, 'batch_size': [128, 14]}",43.0
0,0.8016629115251978,,,"{'nz': 256, 'd_dim': 256, 'lr': 0.0001, 'lr_adv': 0.001, 'lam': 0.1, 'batch_size': [128, 14]}",63.0
1,0.7967023805861578,,,"{'nz': 256, 'd_dim': 256, 'lr': 0.0001, 'lr_adv': 0.001, 'lam': 0.1, 'batch_size': [128, 14]}",49.0
2,0.7970882123862721,,,"{'nz': 256, 'd_dim': 256, 'lr': 0.0001, 'lr_adv': 0.001, 'lam': 0.1, 'batch_size': [128, 14]}",34.0
3,0.8136491816172176,,,"{'nz': 256, 'd_dim': 256, 'lr': 0.0001, 'lr_adv': 0.001, 'lam': 0.1, 'batch_size': [128, 14]}",58.0
4,0.8036163661284597,,,"{'nz': 256, 'd_dim': 256, 'lr': 0.0001, 'lr_adv': 0.001, 'lam': 0.1, 'batch_size': [128, 14]}",38.0
