Fold,Iteration,Test_AUC,Best_params,Best_epoch
Fold_2,57,0.6357500847268742,"{'nz': 256, 'd_dim': 256, 'lr': 0.0001, 'lr_adv': 0.0001, 'lam': 0.1, 'batch_size': [128, 14]}",39
Fold_2,58,0.6266309541619977,"{'nz': 256, 'd_dim': 100, 'lr': 0.001, 'lr_adv': 0.0001, 'lam': 0.01, 'batch_size': [256, 28]}",21
Fold_2,59,0.8272821298046243,"{'nz': 128, 'd_dim': 128, 'lr': 0.0001, 'lr_adv': 0.0001, 'lam': 0.01, 'batch_size': [128, 14]}",70
Fold_3,60,0.6338678886673608,"{'nz': 256, 'd_dim': 100, 'lr': 0.001, 'lr_adv': 0.001, 'lam': 1, 'batch_size': [128, 14]}",49
Fold_3,61,0.6213644156288259,"{'nz': 100, 'd_dim': 256, 'lr': 0.001, 'lr_adv': 0.001, 'lam': 0.1, 'batch_size': [256, 28]}",24
Fold_3,62,0.6341880951872082,"{'nz': 128, 'd_dim': 256, 'lr': 0.0001, 'lr_adv': 0.0001, 'lam': 1, 'batch_size': [128, 14]}",44
Fold_3,63,0.775949513469283,"{'nz': 128, 'd_dim': 128, 'lr': 0.001, 'lr_adv': 0.001, 'lam': 0.01, 'batch_size': [256, 28]}",31
Fold_3,64,0.6261792683261939,"{'nz': 256, 'd_dim': 256, 'lr': 0.001, 'lr_adv': 0.001, 'lam': 0.1, 'batch_size': [256, 28]}",27
Fold_3,65,0.6345329564641262,"{'nz': 100, 'd_dim': 128, 'lr': 0.0001, 'lr_adv': 0.0001, 'lam': 1, 'batch_size': [128, 14]}",19
Fold_3,66,0.6322364765222594,"{'nz': 100, 'd_dim': 256, 'lr': 0.001, 'lr_adv': 0.001, 'lam': 1, 'batch_size': [256, 28]}",53
Fold_3,67,0.8109603753018872,"{'nz': 256, 'd_dim': 128, 'lr': 0.0001, 'lr_adv': 0.0001, 'lam': 0.01, 'batch_size': [128, 14]}",37
Fold_3,68,0.6274274249442023,"{'nz': 256, 'd_dim': 256, 'lr': 0.001, 'lr_adv': 0.001, 'lam': 0.01, 'batch_size': [256, 28]}",11
Fold_3,69,0.6097566048796572,"{'nz': 100, 'd_dim': 128, 'lr': 0.001, 'lr_adv': 0.0001, 'lam': 1, 'batch_size': [256, 28]}",9
Fold_3,70,0.8143278487312341,"{'nz': 100, 'd_dim': 256, 'lr': 0.0001, 'lr_adv': 0.0001, 'lam': 0.01, 'batch_size': [256, 28]}",53
Fold_3,71,0.632187014347084,"{'nz': 128, 'd_dim': 100, 'lr': 0.0001, 'lr_adv': 0.0001, 'lam': 1, 'batch_size': [128, 14]}",20
Fold_3,72,0.6262331576713697,"{'nz': 256, 'd_dim': 256, 'lr': 0.0001, 'lr_adv': 0.0001, 'lam': 0.1, 'batch_size': [128, 14]}",20
Fold_3,73,0.7680767839205186,"{'nz': 100, 'd_dim': 100, 'lr': 0.001, 'lr_adv': 0.0001, 'lam': 0.01, 'batch_size': [128, 14]}",41
Fold_3,74,0.7531208113628661,"{'nz': 128, 'd_dim': 100, 'lr': 0.001, 'lr_adv': 0.0001, 'lam': 0.01, 'batch_size': [128, 14]}",25
Fold_3,75,0.621306709757788,"{'nz': 128, 'd_dim': 128, 'lr': 0.001, 'lr_adv': 0.001, 'lam': 0.01, 'batch_size': [128, 14]}",10
Fold_3,76,0.6320877083441468,"{'nz': 256, 'd_dim': 100, 'lr': 0.001, 'lr_adv': 0.0001, 'lam': 1, 'batch_size': [256, 28]}",38
Fold_3,77,0.6275090222671386,"{'nz': 100, 'd_dim': 128, 'lr': 0.001, 'lr_adv': 0.001, 'lam': 0.1, 'batch_size': [256, 28]}",24
Fold_3,78,0.7715749351953909,"{'nz': 128, 'd_dim': 128, 'lr': 0.001, 'lr_adv': 0.0001, 'lam': 1, 'batch_size': [256, 28]}",44
Fold_3,79,0.6234107604656772,"{'nz': 128, 'd_dim': 100, 'lr': 0.0001, 'lr_adv': 0.0001, 'lam': 0.1, 'batch_size': [256, 28]}",9
Fold_4,80,0.8199841308854645,"{'nz': 128, 'd_dim': 100, 'lr': 0.0001, 'lr_adv': 0.001, 'lam': 0.01, 'batch_size': [128, 14]}",50
Fold_4,81,0.6246778088867042,"{'nz': 128, 'd_dim': 256, 'lr': 0.001, 'lr_adv': 0.001, 'lam': 1, 'batch_size': [256, 28]}",34
Fold_4,82,0.6303574100139533,"{'nz': 100, 'd_dim': 128, 'lr': 0.0001, 'lr_adv': 0.001, 'lam': 1, 'batch_size': [256, 28]}",35
Fold_4,83,0.6286738641255729,"{'nz': 100, 'd_dim': 100, 'lr': 0.0001, 'lr_adv': 0.001, 'lam': 1, 'batch_size': [128, 14]}",39
Fold_4,84,0.6178014979100704,"{'nz': 256, 'd_dim': 256, 'lr': 0.001, 'lr_adv': 0.0001, 'lam': 1, 'batch_size': [256, 28]}",22
Fold_4,85,0.8257280404734936,"{'nz': 128, 'd_dim': 100, 'lr': 0.0001, 'lr_adv': 0.0001, 'lam': 0.01, 'batch_size': [256, 28]}",73
Fold_4,86,0.618340696683897,"{'nz': 100, 'd_dim': 100, 'lr': 0.001, 'lr_adv': 0.001, 'lam': 0.01, 'batch_size': [128, 14]}",10
Fold_4,87,0.8185628948196004,"{'nz': 128, 'd_dim': 128, 'lr': 0.0001, 'lr_adv': 0.001, 'lam': 0.01, 'batch_size': [128, 14]}",51
