fold,metric,value,nz,d_dim,lr,lr_adv,lam,batch_size,TX_drug_feat_data_test,TX_drug_adj_data_test,TX_gexpr_data_test,TY_test
0,auc_TEST,0.6297853285159711,100,100,0.0001,0.0001,1.0,"[128, 14]",cuda:0,cuda:0,cuda:0,cuda:0
0,auc_val,0.6144401205489073,100,100,0.0001,0.0001,1.0,"[128, 14]",cuda:0,cuda:0,cuda:0,cuda:0
0,auc_TEST,0.6193316211678918,100,100,0.0001,0.0001,1.0,"[128, 14]",cuda:0,cuda:0,cuda:0,cuda:0
0,auc_val,0.6123275887292624,100,100,0.0001,0.0001,1.0,"[128, 14]",cuda:0,cuda:0,cuda:0,cuda:0
0,auc_TEST,0.6262156742214576,100,100,0.0001,0.0001,1.0,"[128, 14]",cuda:0,cuda:0,cuda:0,cuda:0
0,auc_val,0.6173663574918805,100,100,0.0001,0.0001,1.0,"[128, 14]",cuda:0,cuda:0,cuda:0,cuda:0
0,auc_TEST,0.6267713197868114,100,100,0.0001,0.0001,1.0,"[128, 14]",cuda:0,cuda:0,cuda:0,cuda:0
0,auc_val,0.6161125903385318,100,100,0.0001,0.0001,1.0,"[128, 14]",cuda:0,cuda:0,cuda:0,cuda:0
0,auc_TEST,0.6275390185406989,100,100,0.0001,0.0001,1.0,"[128, 14]",cuda:0,cuda:0,cuda:0,cuda:0
0,auc_val,0.6292787547180853,100,100,0.0001,0.0001,1.0,"[128, 14]",cuda:0,cuda:0,cuda:0,cuda:0
0,auc_TEST,0.6237874831903167,100,100,0.0001,0.0001,1.0,"[128, 14]",cuda:0,cuda:0,cuda:0,cuda:0
0,auc_val,0.6257181730403488,100,100,0.0001,0.0001,1.0,"[128, 14]",cuda:0,cuda:0,cuda:0,cuda:0
0,auc_TEST,0.6338541012799676,100,100,0.0001,0.0001,1.0,"[128, 14]",cuda:0,cuda:0,cuda:0,cuda:0
0,auc_val,0.6309693653626708,100,100,0.0001,0.0001,1.0,"[128, 14]",cuda:0,cuda:0,cuda:0,cuda:0
0,auc_TEST,0.6379908997737597,100,100,0.0001,0.0001,1.0,"[128, 14]",cuda:0,cuda:0,cuda:0,cuda:0
0,auc_val,0.572553372401432,100,100,0.0001,0.0001,1.0,"[128, 14]",cuda:0,cuda:0,cuda:0,cuda:0
0,auc_TEST,0.5833697260384492,100,100,0.0001,0.0001,1.0,"[128, 14]",cuda:0,cuda:0,cuda:0,cuda:0
0,auc_val,0.5862150283348391,100,100,0.0001,0.0001,1.0,"[128, 14]",cuda:0,cuda:0,cuda:0,cuda:0
0,auc_TEST,0.605212865632996,100,100,0.0001,0.0001,1.0,"[128, 14]",cuda:0,cuda:0,cuda:0,cuda:0
0,auc_val,0.5924644546328549,100,100,0.0001,0.0001,1.0,"[128, 14]",cuda:0,cuda:0,cuda:0,cuda:0
0,auc_TEST,0.6158974292636086,100,100,0.0001,0.0001,1.0,"[128, 14]",cuda:0,cuda:0,cuda:0,cuda:0
0,auc_val,0.618959220055172,100,100,0.0001,0.0001,1.0,"[128, 14]",cuda:0,cuda:0,cuda:0,cuda:0
0,auc_TEST,0.6172177575477222,100,100,0.0001,0.0001,1.0,"[128, 14]",cuda:0,cuda:0,cuda:0,cuda:0
0,auc_val,0.6262923392064312,100,100,0.0001,0.0001,1.0,"[128, 14]",cuda:0,cuda:0,cuda:0,cuda:0
0,auc_TEST,0.6247592237894295,100,100,0.0001,0.0001,1.0,"[128, 14]",cuda:0,cuda:0,cuda:0,cuda:0
0,auc_val,0.613207102792902,100,100,0.0001,0.0001,1.0,"[128, 14]",cuda:0,cuda:0,cuda:0,cuda:0
0,auc_TEST,0.6262526559959344,100,100,0.0001,0.0001,1.0,"[128, 14]",cuda:0,cuda:0,cuda:0,cuda:0
0,auc_val,0.6248013179444318,100,100,0.0001,0.0001,1.0,"[128, 14]",cuda:0,cuda:0,cuda:0,cuda:0
0,auc_TEST,0.6299159723188297,100,100,0.0001,0.0001,1.0,"[128, 14]",cuda:0,cuda:0,cuda:0,cuda:0
0,auc_val,0.6108044992729083,100,100,0.0001,0.0001,1.0,"[128, 14]",cuda:0,cuda:0,cuda:0,cuda:0
0,auc_TEST,0.6329429052297673,100,100,0.0001,0.0001,1.0,"[128, 14]",cuda:0,cuda:0,cuda:0,cuda:0
0,auc_val,0.6297351550082371,100,100,0.0001,0.0001,1.0,"[128, 14]",cuda:0,cuda:0,cuda:0,cuda:0
0,auc_TEST,0.6294656287924285,100,100,0.0001,0.0001,1.0,"[128, 14]",cuda:0,cuda:0,cuda:0,cuda:0
0,auc_val,0.6349809047823798,100,100,0.0001,0.0001,1.0,"[128, 14]",cuda:0,cuda:0,cuda:0,cuda:0
0,auc_TEST,0.6388954275587949,100,100,0.0001,0.0001,1.0,"[128, 14]",cuda:0,cuda:0,cuda:0,cuda:0
0,auc_val,0.638208431365918,100,100,0.0001,0.0001,1.0,"[128, 14]",cuda:0,cuda:0,cuda:0,cuda:0
