nz,d_dim,lr,lr_adv,lam,batch_size,Epoch,Train AUC,Train Accuracy,Train F1,Train Recall,Train Precision,Train W_distance,Train critic_loss,Train gen_loss,Train total_loss,Val AUC,Val Accuracy,Val F1,Val Recall,Val Precision,Val W_distance,Val critic_loss,Val gen_loss,Val total_loss,Test AUC,Test Accuracy,Test F1,Test Recall,Test Precision,Test W_distance,Test critic_loss,Test gen_loss,Test total_loss,Iteration
100,100,0.0001,2e-05,0.0001,"[256, 28]",0,0.500263091251378,0.4514204545454545,0.1985889188628345,0.58819913952059,0.1194607414804643,0.0605503330176526,38.47697525024414,0.6296308636665344,0.6303900398367104,0.5710499627541211,0.6937597157450589,0.2377003869541183,0.4064272211720227,0.16796875,0.3672388195991516,-0.3672388195991516,0.3718422651290893,0.3718055486679077,0.4374170720919946,0.5180180180180181,0.1574803149606299,0.0928792569659442,0.5172413793103449,0.3689011335372925,-0.3689011335372925,0.802748441696167,0.802711546421051,<built-in function iter>
100,100,0.0001,2e-05,0.0001,"[256, 28]",0,0.5028241376643603,0.5657670454545455,0.1848,0.4293680297397769,0.1177370030581039,0.0307284326715902,37.201299060474746,0.6719665494832125,0.6726995659507404,0.580902037607941,0.500777259604708,0.2410533423362593,0.6685393258426966,0.1470345963756178,0.1900577396154403,-0.1900577396154403,0.3702452480792999,0.3702262341976166,0.4474045257200624,0.5225225225225225,0.0755813953488372,0.0402476780185758,0.6190476190476191,0.1906359046697616,-0.1906359046697616,0.803873598575592,0.8038545250892639,<built-in function iter>
100,100,0.0001,2e-05,0.0001,"[256, 28]",0,0.5113683485608972,0.7041903409090909,0.1750841750841751,0.2695121951219512,0.1296567908477559,-0.0152714018117297,41.23180412812666,0.5145308516242287,0.5153440164782783,0.5939624182140169,0.6879857872529425,0.2514651038891849,0.4529750479846449,0.1740412979351032,0.0293206553906202,-0.0293206553906202,0.3630916178226471,0.3630886971950531,0.4399443988121564,0.5255255255255256,0.1366120218579235,0.0773993808049535,0.5813953488372093,0.0298144835978746,-0.0298144835978746,0.9912656545639038,0.991262674331665,<built-in function iter>
100,100,0.0001,2e-05,0.0001,"[256, 28]",0,0.4951673076899574,0.4110085227272727,0.198666537829742,0.6249240121580547,0.1181066176470588,-0.0129940184679898,38.70769167813388,0.5920170653950084,0.5927796973306482,0.5849638848384143,0.6915389740173218,0.2347107438016529,0.4111969111969112,0.164225134926754,0.0259598270058631,-0.0259598270058631,0.3565178513526916,0.3565152585506439,0.4488622516675843,0.521021021021021,0.200501253132832,0.1238390092879257,0.5263157894736842,0.0262364521622657,-0.0262364521622657,0.92020982503891,0.9202072024345398,<built-in function iter>
100,100,0.0001,2e-05,0.0001,"[256, 28]",0,0.4908817434284754,0.1977982954545454,0.2085347908345595,0.8980084490042245,0.1179641667987949,0.0566718173297968,41.13951663970947,0.4905205742879347,0.4913311039196361,0.6152303412019732,0.7401732178547635,0.2830882352941176,0.4350282485875706,0.2098092643051771,0.2465599179267883,-0.2465599179267883,0.3653784990310669,0.3653538525104522,0.4096706351713618,0.5225225225225225,0.096590909090909,0.0526315789473684,0.5862068965517241,0.2459938824176788,-0.2459938824176788,0.9902774691581726,0.9902528524398804,<built-in function iter>
100,100,0.0001,2e-05,0.001,"[128, 14]",27,0.7410556567457551,0.7102336711711712,0.3459888800635425,0.6568154402895054,0.234850118611171,0.135449108306889,-0.6190893606068818,0.3154481414470587,0.3153281221192158,0.7597419616923993,0.7199644681323563,0.3576158940397351,0.6635160680529301,0.2447698744769874,0.0441996157169342,-0.0441996157169342,0.3179864585399627,0.3179422616958618,0.6558322577151161,0.6321321321321322,0.5569620253164558,0.4767801857585139,0.6695652173913044,0.0750540792942047,-0.0750540792942047,1.155564308166504,1.155489206314087,<built-in function iter>
100,100,0.0001,2e-05,0.001,"[128, 14]",0,0.5141615590044862,0.4118806306306306,0.2034318398474738,0.652200488997555,0.1205105037271289,0.3629595189615412,32.13066390827969,0.4301318363831924,0.4365269264970814,0.6410448768215844,0.6024872307350655,0.2693877551020408,0.6179775280898876,0.1722338204592902,0.9310848712921144,-0.9310848712921144,0.3553400337696075,0.3544089496135711,0.4255927935083808,0.527027027027027,0.1274238227146814,0.0712074303405572,0.6052631578947368,0.9298748970031738,-0.9298748970031738,0.8985992074012756,0.8976693153381348,<built-in function iter>
100,100,0.0001,2e-05,0.001,"[128, 14]",0,0.5077405446175223,0.2363457207207207,0.2199856218547807,0.892128279883382,0.1254612546125461,0.008651364225525,38.95247279845916,0.4860810213260823,0.4938415561667433,0.61746284383372,0.7737064179435932,0.2808750882145377,0.381957773512476,0.2220982142857142,0.2712690830230713,-0.2712690830230713,0.3505258858203888,0.350254625082016,0.4191751888725415,0.5225225225225225,0.1358695652173913,0.0773993808049535,0.5555555555555556,0.2690967321395874,-0.2690967321395874,0.8917416334152222,0.8914725184440613,<built-in function iter>
100,100,0.0001,2e-05,0.001,"[128, 14]",0,0.5026418287938804,0.2611204954954955,0.2021583827329381,0.8317698561601,0.1150618565619863,0.3491551973395519,36.32945455087198,0.4709362340671522,0.4781688695179448,0.6265094005997394,0.7799244947812569,0.294661921708185,0.3996138996138996,0.2333709131905298,0.9786823987960817,-0.9786823987960817,0.3523517847061157,0.3513731062412262,0.4160611613066279,0.521021021021021,0.1114206128133704,0.0619195046439628,0.5555555555555556,0.975916862487793,-0.975916862487793,0.9485594630241394,0.947583556175232,<built-in function iter>
100,100,0.0001,2e-05,0.001,"[128, 14]",0,0.5181498200640972,0.2961711711711711,0.2125984251968503,0.8064516129032258,0.1224378741157264,0.019284271089746,34.57961999188672,0.5259156683543781,0.5328122074883266,0.629160242222867,0.7770375305351988,0.3113854595336077,0.4274952919020716,0.2448759439050701,0.4017497301101684,-0.4017497301101684,0.355177104473114,0.3547753691673279,0.4319833196436469,0.527027027027027,0.1463414634146341,0.0835913312693498,0.5869565217391305,0.4029882550239563,-0.4029882550239563,0.8864955306053162,0.8860925436019897,<built-in function iter>
